,rate,attraction,reviews,details,attraction_url,reviews_url,uuid
3368,5,3369. Spices - Hassan Benouadi,Reviews not found,Details not found,/Attraction_Review-g293734-d32681489-Reviews-Spices_Hassan_Benouadi-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d32681489-Reviews-Spices_Hassan_Benouadi-Marrakech_Marrakech_Safi.html,5771ac1a-1f9b-43b6-9dba-4bfb5a148ba2
3369,4.3,3370. Quad Bike Marrakech,Reviews not found,Details not found,/Attraction_Review-g293734-d17298239-Reviews-Quad_Bike_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d17298239-Reviews-Quad_Bike_Marrakech-Marrakech_Marrakech_Safi.html,b500da14-c2c6-4f53-a65b-622e879b63da
3370,4.6,3371. Les Cent Ciels d'Orient,Reviews not found,Details not found,/Attraction_Review-g293734-d11887273-Reviews-Les_Cent_Ciels_d_Orient-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d11887273-Reviews-Les_Cent_Ciels_d_Orient-Marrakech_Marrakech_Safi.html,41afebda-b54d-4aaf-aa5c-0c29365cec98
3371,5,3372. MorocGo,Reviews not found,Details not found,/Attraction_Review-g293734-d31915771-Reviews-MorocGo-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d31915771-Reviews-MorocGo-Marrakech_Marrakech_Safi.html,635d070e-7bc3-4e92-b7bc-6e3285187585
3372,5,3373. Kech Viajes,Reviews not found,Details not found,/Attraction_Review-g293734-d19448334-Reviews-Kech_Viajes-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d19448334-Reviews-Kech_Viajes-Marrakech_Marrakech_Safi.html,d8b2235d-c589-4cae-8b76-f1c4a56f05bc
3373,5,3374. Morocco Tours Adventures,Reviews not found,Details not found,/Attraction_Review-g293734-d27976519-Reviews-Morocco_Tours_Adventures-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27976519-Reviews-Morocco_Tours_Adventures-Marrakech_Marrakech_Safi.html,4fc7f331-558f-4512-8c33-6964574ed01d
3374,5,3375. My Air Experience,Reviews not found,Details not found,/Attraction_Review-g293734-d23818524-Reviews-My_Air_Experience-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d23818524-Reviews-My_Air_Experience-Marrakech_Marrakech_Safi.html,938388ac-407b-4ff1-b276-8f536fbe823d
3375,5,3376. Ideal Tour Morocco,Reviews not found,Details not found,/Attraction_Review-g293734-d27454667-Reviews-Ideal_Tour_Morocco-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27454667-Reviews-Ideal_Tour_Morocco-Marrakech_Marrakech_Safi.html,a0361fe1-9aeb-4902-ac60-46dd38b1611f
3376,5,3377. Tifawin Safari,Reviews not found,Details not found,/Attraction_Review-g488109-d27398906-Reviews-Tifawin_Safari-Imlil_Marrakech_Safi.html,/Attraction_Review-g488109-d27398906-Reviews-Tifawin_Safari-Imlil_Marrakech_Safi.html,ac2a02f8-1406-4e48-a026-6fcb3e1c153c
3377,5,"3378. From Marrakech:Agafay Desert Camel Ride, Dinner and Magical Show",Reviews not found,Details not found,/Attraction_Review-g293734-d31194494-Reviews-From_Marrakech_Agafay_Desert_Camel_Ride_Dinner_and_Magical_Show-Marrakech_Marrak.html,/Attraction_Review-g293734-d31194494-Reviews-From_Marrakech_Agafay_Desert_Camel_Ride_Dinner_and_Magical_Show-Marrakech_Marrak.html,c6660f6c-401e-4ea2-95f3-515c8fa77913
